quarter,age_band,population
2025-Q3,15-19,1717126
2025-Q3,20-24,1829739
2025-Q3,25-29,2035414
2025-Q3,30-34,2071534
2025-Q3,35-39,2026277
2025-Q3,40-44,1924603
2025-Q3,45-49,1662034
2025-Q3,50-54,1680088
2025-Q3,55-59,1565655
2025-Q3,60-64,1533452
2025-Q3,65-69,1395871
2025-Q3,70-74,1197731
2025-Q3,75-79,1019220
2025-Q3,80+,1260027
